pmid,g2p_id
9831350,G2P00113
9832033,G2P02469
9832037,G2P00860
9835431,G2P01578
9837815,G2P02469
9837817,G2P01347
9837823,G2P01013
9841703,G2P00934
9842995,G2P01257
9848313,G2P01621
9851444,G2P01133
9851891,G2P01042
9852542,G2P00410
9852673,G2P00275
9856761,G2P01555
9868957,G2P01115
9874851,G2P00410
9875019,G2P00951
9877039,G2P00150
9880214,G2P00258
9886310,G2P01293
9887333,G2P01390
9887471,G2P00999
9888993,G2P00314
9890073,G2P00637
9893157,G2P01617
9894796,G2P00235
9916796,G2P01043
9921903,G2P00741
9926316,G2P00197
9950359,G2P00864
9950367,G2P01632
9972427,G2P00855
9973283,G2P01299
9974062,G2P01542
9988151,G2P00198
9989253,G2P00673
10022588,G2P00198
10051003,G2P00094
10051016,G2P00626
10051021,G2P00658
10051399,G2P01231;G2P00780
10052539,G2P01578
10066119,G2P01621
10067756,G2P00976;G2P01300
10067911,G2P00331
10067940,G2P02841
10070616,G2P00341
10084559,G2P00741
10084733,G2P00423
10086936,G2P00507
10086948,G2P01299
10090474,G2P00673
10090550,G2P01621
10090884,G2P01013
10094188,G2P00842
10094193,G2P01347
10094256,G2P00410
10094560,G2P00284
10100295,G2P00855
10101253,G2P00031
10101575,G2P00749
10101919,G2P00275
10102047,G2P01258
10102075,G2P00276
10102079,G2P00276
10190485,G2P00749
10193515,G2P00413
10193810,G2P01506;G2P00950
10196695,G2P01058
10199773,G2P01578
10200051,G2P01487
10200057,G2P00275
10203670,G2P00749
10205261,G2P01270;G2P01636
10208165,G2P00658
10215032,G2P00507
10215407,G2P01636
10215411,G2P00951
10220148,G2P00680
10220444,G2P01419
10221770,G2P00507
10222433,G2P00413
10226798,G2P00276
10227400,G2P01621
10227685,G2P00786
10231870,G2P00537
10232405,G2P00413
10234503,G2P01555
10235461,G2P00855
10319579,G2P00647
10319851,G2P02469
10320864,G2P01621
10323249,G2P01133
10323394,G2P00910
10323732,G2P00473
10328134,G2P01459
10330348,G2P01390
10331599,G2P00658
10334222,G2P01621
10338092,G2P00764
10339581,G2P01357
10360393,G2P01257
10364517,G2P00828
10364522,G2P00949
10369308,G2P00709
10371548,G2P01542
10382913,G2P01621
10388017,G2P00172
10392746,G2P01621
10399091,G2P00732
10399108,G2P00114
10399865,G2P03444
10405447,G2P01483
10406660,G2P00020
10407773,G2P01562
10407778,G2P02973
10407780,G2P01539
10408774,G2P00828
10408781,G2P00021
10412819,G2P00369
10419008,G2P00499;G2P00507
10419614,G2P01066
10420196,G2P01421
10422803,G2P00235
10424811,G2P01419
10424820,G2P00658;G2P00121
10425080,G2P00237
10428169,G2P00749
10429368,G2P00149
10431244,G2P00172;G2P00906
10434076,G2P00410
10441331,G2P01433
10441571,G2P00867
10441586,G2P01632
10444340,G2P00114
10446744,G2P00789;G2P01035
10447258,G2P00364
10450598,G2P01035
10451080,G2P01115
10458491,G2P00680;G2P01482
10464601,G2P00119;G2P00807
10464661,G2P00649
10466411,G2P00011
10466421,G2P01133
10470829,G2P00410
10471644,G2P00235
10480204,G2P00410
10480353,G2P00364
10482366,G2P01423
10482875,G2P02492
10482885,G2P00944
10483791,G2P01621
10484795,G2P01173
10485306,G2P01175
10495929,G2P00658
10502786,G2P00507
10503267,G2P00828
10506123,G2P00611
10506274,G2P00410
10507736,G2P01058
10508498,G2P00034
10508519,G2P01161
10508980,G2P00284
10520414,G2P01578
10524567,G2P01099
10527663,G2P00275
10528240,G2P00410
10533035,G2P00283
10533062,G2P00011
10533065,G2P00637
10533074,G2P02972
10535394,G2P00341
10535539,G2P01167
10536901,G2P01058
10541159,G2P00864;G2P00144;G2P01586
10543400,G2P00410
10543676,G2P00507
10545040,G2P02981
10545614,G2P00229
10549780,G2P01013
10555648,G2P00410
10558868,G2P00483
10561752,G2P00198
10566630,G2P01578
10571008,G2P00114
10571700,G2P01167
10571941,G2P00663
10571954,G2P00333
10573014,G2P01519
10583221,G2P01293
10585338,G2P01562
10587579,G2P01007
10588837,G2P00410
10588844,G2P00700
10590024,G2P00507
10594514,G2P02848
10599689,G2P00231;G2P00633;G2P00910
10602370,G2P00782
10603100,G2P00088
10603123,G2P00198
10607834,G2P00410
10608951,G2P00275
10614539,G2P00749
10618890,G2P01298
10626545,G2P00231
10633128,G2P03444
10634394,G2P01278;G2P00460
10637573,G2P01258;G2P01099;G2P01475
10640930,G2P00413
10648412,G2P00343
10649495,G2P00946
10649503,G2P00451
10652002,G2P00169
10660341,G2P01555
10664233,G2P01090
10667001,G2P01578
10668723,G2P03444
10670894,G2P00864
10671061,G2P01321
10674158,G2P00658
10677299,G2P01401
10677332,G2P00376
10678658,G2P01100
10679939,G2P03299
10679944,G2P00855
10680913,G2P00447
10685993,G2P00946
10686496,G2P01013
10692123,G2P00283
10694919,G2P00182
10697964,G2P00362
10698595,G2P00910;G2P01517
10700182,G2P00572
10700698,G2P01293
10704188,G2P03298
10710230,G2P01034
10710236,G2P01401
10711986,G2P00113
10712196,G2P01244
10718826,G2P01578
10722962,G2P01621
10729115,G2P00555
10732814,G2P01085
10735632,G2P00235
10735635,G2P00331
10737124,G2P00764
10737977,G2P00951
10742096,G2P00352
10743927,G2P00410
10746561,G2P00483
10748405,G2P00749
10749983,G2P01201;G2P00413
10751095,G2P00782
10753262,G2P01562
10759956,G2P00283
10761835,G2P03461;G2P03460
10762540,G2P00537
10764709,G2P01459
10767182,G2P01115
10767337,G2P00034
10767351,G2P00976
10770668,G2P00272
10772390,G2P00413
10774989,G2P00789
10774997,G2P00600
10790204,G2P01539
10792348,G2P01517
10797267,G2P01459
10797421,G2P00197
10799273,G2P00658
10799436,G2P01346
10800768,G2P00910
10802654,G2P00497
10802757,G2P01035
10802807,G2P01542
10803875,G2P00749
10805190,G2P00197
10805333,G2P00154
10807796,G2P01407
10810087,G2P00599
10811127,G2P01459
10811882,G2P00120
10814714,G2P01632
10817652,G2P01380
10829971,G2P00355
10831653,G2P01636
10834514,G2P02492
10834525,G2P00284
